#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:28:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551ead82562d	
#INFO	-out.max=99999	
#INFO	queryParameters=14	
#-oc.form=sexa
#-out.max=99999
#-out.add=_RAJ,_DEJ
#-order=I
#-nav=cat:VII/118&tab:{VII/118/ngc2000}&key:source=VII/118/ngc2000&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/118/ngc2000
#-out=Name
#-out=Type
#-out=size
#-out=mag
#

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
#Column	_RAJ2000	(A7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A5)	NGC or IC designation (preceded by I)	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Object classification (1)	[ucd=src.class]
#Column	size	(F5.1)	? Largest dimension	[ucd=phys.angSize]
#Column	mag	(F4.1)	? Integrated magnitude, visual or photographic (see n_mag)	[ucd=phot.mag;em.opt]
_RAJ2000	_DEJ2000	Name	Type	size	mag
11 01 36.1	+38 48 00	I2614	   	     	
11 01 42.0	+75 13 00	 3500	 Gx	     	15.0
11 01 54.1	+14 23 00	 3498	***	     	
11 02 00.1	+37 56 00	I2615	   	     	
11 02 00.1	+27 46 00	I2618	   	     	
11 02 06.1	-14 08 00	 3502	 Gx	     	14.0
11 02 12.1	+38 46 00	I2616	 Gx	  0.2	15.0
11 02 12.1	+38 39 00	I2617	 Gx	  0.8	15.0
11 02 12.1	+37 57 00	I2619	 Gx	     	16.0
11 02 18.1	+38 30 00	I2620	 Gx	  1.1	15.0
11 02 42.1	-15 29 00	 3505	  -	     	
11 02 48.0	+75 08 00	 3523	 Gx	     	14.0
11 02 54.1	+17 59 00	 3501	 Gx	  3.7	13.0
11 02 54.1	-16 18 00	 3508	 Gx	     	14.0
11 03 00.0	+75 49 00	 3484	  -	     	
11 03 12.1	+56 13 00	 3499	 Gx	  1.0	14.0
11 03 12.1	+27 58 00	 3504	 Gx	  2.7	11.1
11 03 12.1	+11 05 00	 3506	 Gx	  1.3	13.0
11 03 24.1	-23 05 00	 3511	 Gx	  5.4	12.0
11 03 30.1	+18 08 00	 3507	 Gx	  3.5	11.0
11 03 30.1	-16 14 00	I2622	   	     	
11 03 42.1	+28 53 00	 3510	 Gx	  3.8	12.9
11 03 48.1	-23 15 00	 3513	 Gx	  2.8	12.0
11 03 48.1	-20 06 00	I2623	   	     	
11 03 54.1	-18 49 00	 3514	 Gx	     	13.0
11 04 00.1	+28 02 00	 3512	 Gx	  1.7	12.4
11 04 00.1	-61 22 00	 3519	  -	     	
11 04 18.1	-06 28 00	 3518	 Gx	     	
11 04 24.1	+04 50 00	 3509	 Gx	  2.3	14.0
11 04 36.1	+28 14 00	 3515	 Gx	  1.1	15.0
11 05 30.1	-17 56 00	 3520	Ast	     	
11 05 36.1	+56 31 00	 3517	 Gx	  1.2	14.0
11 05 48.1	-00 02 00	 3521	 Gx	  9.5	 8.9
11 06 24.1	-19 27 00	 3525	  -	     	
11 06 24.1	-58 40 00	 3532	 OC	 55.0	 3.0
11 06 30.1	+11 24 00	 3524	 Gx	     	13.0
11 06 30.1	+15 05 00	I 667	 Gx	     	15.0
11 06 36.1	+20 04 00	 3522	 Gx	     	14.0
11 06 36.1	+15 02 00	I 668	 Gx	  0.6	15.0
11 06 48.0	+72 34 00	 3516	 Gx	  2.3	11.6
11 06 54.1	+07 10 00	 3531	   	     	
11 07 00.1	+07 10 00	 3526	 Gx	     	13.0
11 07 12.1	-37 10 00	 3533	 Gx	  2.6	
11 07 18.1	+28 32 00	 3527	 Gx	     	15.0
11 07 18.1	-19 28 00	 3528	 Gx	  3.0	
11 07 18.1	-19 33 00	 3529	 Gx	  1.5	
11 07 18.1	+06 18 00	I 669	 Gx	  1.6	14.0
11 07 18.1	-19 28 00	I2624	 Gx	  3.0	
11 07 18.1	-19 33 00	I2625	 Gx	  1.5	
11 07 24.1	+06 43 00	I 670	 Gx	  1.3	15.0
11 07 36.1	+00 47 00	I 671	 Gx	  1.6	15.0
11 08 00.1	-12 29 00	I 672	 Gx	  0.5	15.0
11 08 30.1	+04 50 00	 3535	 Gx	     	14.0
11 08 36.1	-10 26 00	 3537	 Gx	     	14.0
11 08 42.1	+57 14 00	 3530	 Gx	     	14.0
11 08 42.1	+26 36 00	 3534	 Gx	     	15.0
11 08 48.1	+28 29 00	 3536	 Gx	     	15.0
11 08 48.1	-10 56 00	 3541	 Gx	     	15.0
11 09 00.1	+26 55 00	I2626	 Gx	     	16.0
11 09 06.1	+28 40 00	 3539	 Gx	     	15.0
11 09 18.1	+36 01 00	 3540	 Gx	     	14.0
11 09 30.1	-00 05 00	I 673	   	     	
11 09 36.1	+21 43 00	 3551	 Gx	     	15.0
11 09 42.1	+21 44 00	 3555	 Gx	     	15.0
11 09 48.1	-13 23 00	 3546	 Gx	     	14.0
11 09 48.0	-76 37 00	I2631	   	     	
11 09 54.1	+10 43 00	 3547	 Gx	  2.2	12.8
11 09 54.1	-20 02 00	 3565	  -	     	
11 09 54.1	-20 02 00	 3566	  -	     	
11 09 54.1	-23 44 00	I2627	 Gx	  2.7	12.0
11 10 00.1	+36 57 00	 3542	 Gx	     	15.0
11 10 00.1	-37 32 00	 3557	 Gx	  4.0	10.4
11 10 12.1	+36 58 00	 3545	 Gx	     	15.0
11 10 24.1	+36 02 00	 3548	  -	     	
11 10 24.1	-60 14 00	 3572	C+N	 20.0	 6.6
11 10 36.1	+28 46 00	 3550	 Gx	  1.4	14.0
11 10 36.1	+28 42 00	 3552	 Gx	     	15.0
11 10 36.1	+28 42 00	 3553	 Gx	     	15.0
11 10 36.1	-37 33 00	 3564	 Gx	  2.1	12.2
11 10 42.1	+28 40 00	 3554	 Gx	     	15.0
11 10 42.1	+12 01 00	 3559	 Gx	  1.5	14.0
11 10 42.1	+11 11 00	 3560	  *	     	
11 10 42.1	+03 41 00	I 675	   	     	
11 10 48.1	+61 22 00	 3543	 Gx	     	15.0
11 10 48.1	-37 27 00	 3568	 Gx	  2.4	
11 10 54.1	+53 23 00	 3549	 Gx	  3.2	12.0
11 10 54.1	+28 33 00	 3558	 Gx	  1.3	15.0
11 11 06.1	+43 38 00	I 674	 Gx	  1.8	14.0
11 11 12.1	+28 43 00	 3561	 Gx	  1.1	15.0
11 11 18.1	+05 50 00	 3567	 Gx	     	14.0
11 11 18.1	-36 51 00	 3573	 Gx	     	
11 11 24.1	+26 58 00	 3563	 Gx	  1.4	15.0
11 11 30.0	+75 34 00	 3538	  -	     	
11 11 30.1	-18 17 00	 3544	 Gx	     	
11 11 30.1	+55 40 00	 3556	 Gx	  8.3	10.1
11 11 30.1	-18 17 00	 3571	 Gx	  3.3	13.0
11 11 36.1	+12 08 00	I2628	 Gx	     	15.0
11 11 48.1	-61 23 00	 3576	 Nb	 20.0	
11 11 54.1	-61 14 00	 3579	 Nb	     	
11 12 06.1	+35 27 00	 3569	 Gx	     	14.0
11 12 06.1	+27 35 00	 3570	 Gx	  1.3	15.0
11 12 06.1	-61 18 00	 3581	 Nb	     	
11 12 12.1	+27 37 00	 3574	 Gx	  0.5	
11 12 18.1	-61 16 00	 3582	 Nb	     	
11 12 24.1	-61 12 00	 3584	 Nb	     	
11 12 36.1	-61 21 00	 3586	 Nb	     	
11 12 36.1	+12 06 00	I2629	   	     	
11 12 42.1	+09 04 00	I 676	 Gx	  2.2	13.0
11 12 42.1	+12 19 00	I2630	   	     	
11 12 48.1	-15 57 00	 3578	  -	     	
11 12 54.0	+72 53 00	 3562	 Gx	     	13.0
11 12 54.1	-60 47 00	 3590	 OC	  4.0	 8.2
11 13 06.1	+22 40 00	 3575	  -	     	
11 13 06.1	+11 40 00	I2632	   	     	
11 13 12.1	+11 36 00	I2633	   	     	
11 13 18.1	+03 40 00	 3580	 Gx	     	14.0
11 13 18.1	-26 45 00	 3585	 Gx	  2.9	10.0
11 13 30.1	+10 30 00	I2634	 Gx	  0.4	15.0
11 13 30.1	+11 28 00	I2635	   	     	
11 13 36.1	+11 27 00	I2636	   	     	
11 13 48.1	+48 16 00	 3577	 Gx	  1.7	15.0
11 13 48.1	+09 36 00	I2637	 Gx	  0.9	14.0
11 13 54.1	+12 19 00	I 677	 Gx	  1.6	14.0
11 13 54.1	+10 34 00	I2638	 Gx	  1.1	15.0
11 13 54.1	+09 39 00	I2639	   	     	
11 14 00.1	+20 24 00	 3588	 Gx	     	15.0
11 14 06.1	-14 04 00	 3591	 Gx	     	14.0
11 14 06.1	+06 35 00	I 678	 Gx	  0.2	15.0
11 14 06.1	+11 00 00	I2640	   	     	
11 14 12.1	+48 19 00	 3583	 Gx	  2.8	12.0
11 14 12.1	+09 24 00	I2641	   	     	
11 14 12.1	+10 16 00	I2642	   	     	
11 14 24.1	+17 16 00	 3592	 Gx	  2.0	15.0
11 14 30.1	+10 08 00	I2643	   	     	
11 14 30.1	+10 46 00	I2644	   	     	
11 14 30.1	+11 54 00	I2645	 Gx	     	16.0
11 14 36.1	+12 49 00	 3593	 Gx	  5.8	11.0
11 14 36.1	-23 43 00	 3597	 Gx	     	13.0
11 14 36.1	+12 32 00	I2646	   	     	
11 14 42.1	+12 09 00	I2647	   	     	
11 14 42.1	+10 14 00	I2648	 Gx	     	16.0
11 14 48.1	+55 01 00	 3587	 Pl	  3.2	11.2
11 14 48.1	+11 08 00	I2649	 Gx	  0.6	15.0
11 14 54.1	+13 51 00	I2650	   	     	
11 14 54.1	+12 15 00	I2651	   	     	
11 14 54.1	+12 27 00	I2652	   	     	
11 14 54.1	+10 33 00	I2653	   	     	
11 15 06.1	+14 47 00	 3596	 Gx	  4.2	12.0
11 15 06.1	-61 15 00	 3603	C+N	 12.0	 9.1
11 15 06.1	+12 30 00	I2654	   	     	
11 15 06.1	+12 10 00	I2655	   	     	
11 15 06.1	+12 23 00	I2656	   	     	
11 15 12.1	+60 42 00	 3589	 Gx	  1.7	15.0
11 15 12.1	+17 16 00	 3598	 Gx	     	13.0
11 15 12.1	+13 42 00	I2657	   	     	
11 15 12.1	+13 00 00	I2658	  *	     	
11 15 24.1	+47 27 00	 3595	 Gx	  1.7	13.0
11 15 24.1	+18 07 00	 3599	 Gx	  2.8	11.9
11 15 30.1	+05 07 00	 3601	 Gx	     	14.0
11 15 30.1	+12 53 00	I2659	  *	     	
11 15 30.1	+12 26 00	I2660	   	     	
11 15 30.1	+13 37 00	I2661	 Gx	     	15.0
11 15 30.1	+12 46 00	I2662	  *	     	
11 15 30.1	-14 11 00	I2668	 Gx	  1.0	14.0
11 15 36.1	+12 36 00	I2663	  *	     	
11 15 36.1	+12 34 00	I2664	  *	     	
11 15 42.1	+11 43 00	I2665	   	     	
11 15 42.1	+13 47 00	I2666	 Gx	  0.7	15.0
11 15 42.1	+12 07 00	I2667	   	     	
11 15 48.1	+41 36 00	 3600	 Gx	  4.3	12.0
11 15 48.1	+17 25 00	 3602	 Gx	     	15.0
11 15 54.1	+13 26 00	I2669	   	     	
11 16 00.1	+11 47 00	I2670	   	     	
11 16 06.1	+55 42 00	 3594	 Gx	     	15.0
11 16 06.0	-76 13 00	 3620	 Gx	  2.8	
11 16 06.1	+13 08 00	I2671	   	     	
11 16 06.1	+10 10 00	I2672	   	     	
11 16 06.1	+10 10 00	I2673	   	     	
11 16 12.1	-33 49 00	 3606	 Gx	     	
11 16 12.1	+11 03 00	I2674	 Gx	  1.4	15.0
11 16 12.1	+12 15 00	I2675	   	     	
11 16 18.1	+04 31 00	 3604	  -	     	
11 16 18.1	+09 50 00	I2676	   	     	
11 16 18.1	+12 13 00	I2677	   	     	
11 16 24.1	+11 57 00	I2678	   	     	
11 16 24.1	+12 01 00	I2679	   	     	
11 16 24.1	+09 49 00	I2680	   	     	
11 16 36.1	-13 58 00	I 679	   	     	
11 16 36.1	+11 12 00	I2681	 Gx	     	15.0
11 16 36.1	+09 25 00	I2682	   	     	
11 16 48.1	+18 01 00	 3605	 Gx	  1.7	13.0
11 16 54.1	+18 03 00	 3607	 Gx	  3.7	10.0
11 16 54.1	+12 06 00	I2683	   	     	
11 17 00.1	+18 09 00	 3608	 Gx	  3.0	11.0
11 17 00.1	+13 06 00	I2684	 Gx	     	15.0
11 17 00.1	+10 06 00	I2685	   	     	
11 17 06.1	+12 57 00	I2686	   	     	
11 17 12.1	+10 10 00	I2687	   	     	
11 17 18.1	+13 29 00	I2688	   	     	
11 17 18.1	+12 58 00	I2689	   	     	
11 17 24.1	+12 59 00	I2690	   	     	
11 17 24.1	+12 02 00	I2691	   	     	
11 17 30.1	+04 33 00	 3611	 Gx	  2.4	12.2
11 17 36.1	+10 46 00	I2692	   	     	
11 17 36.1	+13 33 00	I2693	   	     	
11 17 36.1	+13 23 00	I2694	 Gx	     	15.0
11 17 48.1	+26 38 00	 3609	 Gx	     	14.0
11 17 48.1	-26 07 00	 3617	 Gx	     	13.0
11 17 48.1	+13 44 00	I2695	   	     	
11 17 48.1	+12 45 00	I2696	   	     	
11 17 54.1	+13 24 00	I2697	   	     	
11 17 54.1	+11 53 00	I2698	   	     	
11 17 54.1	+11 55 00	I2699	   	     	
11 17 54.1	+12 03 00	I2700	   	     	
11 17 54.1	-62 42 00	I2714	 OC	 12.0	 8.0
11 18 00.1	+23 24 00	 3615	 Gx	     	14.0
11 18 00.1	-01 56 00	I 680	 Gx	  0.6	15.0
11 18 00.1	+11 07 00	I2701	   	     	
11 18 00.1	+09 25 00	I2702	   	     	
11 18 06.1	+17 39 00	I2703	 Gx	     	
11 18 06.1	+12 28 00	I2704	 Gx	     	15.0
11 18 06.1	+11 54 00	I2705	   	     	
11 18 12.1	+26 38 00	 3612	 Gx	     	15.0
11 18 12.1	+14 44 00	 3616	  -	     	
11 18 18.1	+45 45 00	 3614	 Gx	  4.6	12.0
11 18 18.1	-32 49 00	 3621	 Gx	 10.0	10.0
11 18 24.1	+58 47 00	 3610	 Gx	  3.2	10.8
11 18 30.1	+23 29 00	 3618	 Gx	     	14.0
11 18 30.1	+12 33 00	I2706	   	     	
11 18 30.1	+09 29 00	I2707	   	     	
11 18 36.1	+58 00 00	 3613	 Gx	  3.6	12.0
11 18 36.1	-12 09 00	I 681	   	     	
11 18 36.1	+12 43 00	I2708	 Gx	     	15.0
11 18 42.1	+12 34 00	I2709	   	     	
11 18 48.1	+07 32 00	 3624	 Gx	     	14.0
11 18 48.1	+13 34 00	I2710	   	     	
11 18 48.1	+13 44 00	I2711	   	     	
11 18 54.1	+13 05 00	 3623	 Gx	 10.0	 9.3
11 18 54.1	+09 38 00	I2712	   	     	
11 19 12.1	+12 10 00	I2713	   	     	
11 19 12.1	+11 57 00	I2715	   	     	
11 19 18.1	+11 42 00	I2716	   	     	
11 19 18.1	+12 03 00	I2717	   	     	
11 19 24.1	+57 46 00	 3619	 Gx	  3.1	13.0
11 19 24.1	+12 01 00	I2718	   	     	
11 19 30.1	+12 04 00	I2719	   	     	
11 19 36.1	+12 05 00	I2720	   	     	
11 19 42.1	+12 09 00	I2721	   	     	
11 19 42.1	+13 58 00	I2722	   	     	
11 19 48.1	+12 02 00	I2723	   	     	
11 19 48.1	+10 43 00	I2724	   	     	
11 20 00.1	+13 26 00	I2725	   	     	
11 20 00.1	+13 25 00	I2726	  *	     	
11 20 00.1	+12 02 00	I2727	   	     	
11 20 06.1	+18 21 00	 3626	 Gx	  3.1	10.9
11 20 06.1	+13 25 00	I2728	  *	     	
11 20 06.1	+13 25 00	I2729	   	     	
11 20 06.1	+12 22 00	I2730	   	     	
11 20 12.1	+67 15 00	 3622	 Gx	     	13.0
11 20 12.1	+12 59 00	 3627	 Gx	  8.7	 9.0
11 20 12.1	+13 34 00	I2731	  *	     	
11 20 12.1	+12 24 00	I2732	   	     	
11 20 18.1	+13 36 00	 3628	 Gx	 14.8	 9.5
11 20 18.1	+02 58 00	 3630	 Gx	  2.3	13.0
11 20 18.1	-08 06 00	 3638	 Gx	     	15.0
11 20 24.1	+03 35 00	 3633	 Gx	  1.4	14.0
11 20 24.1	-10 17 00	 3636	 Gx	  1.1	13.0
11 20 24.1	+13 52 00	I2733	 D*	     	
11 20 24.1	+12 27 00	I2734	   	     	
11 20 30.1	+57 47 00	 3625	 Gx	  2.2	14.0
11 20 30.1	+26 58 00	 3629	 Gx	  2.2	13.0
11 20 30.1	+18 09 00	 3632	  -	     	
11 20 36.1	-09 01 00	 3634	 Gx	     	15.0
11 20 36.1	-09 01 00	 3635	 Gx	     	16.0
11 20 42.1	-10 16 00	 3637	 Gx	  1.7	13.0
11 20 54.1	+12 25 00	I2736	   	     	
11 21 00.1	+53 10 00	 3631	 Gx	  4.6	10.4
11 21 00.1	+34 21 00	I2735	 Gx	  1.2	15.0
11 21 06.1	+03 14 00	 3640	 Gx	  4.1	10.3
11 21 06.1	+14 18 00	I2737	   	     	
11 21 12.1	+03 12 00	 3641	 Gx	  1.1	14.0
11 21 12.1	+20 13 00	I 682	   	     	
11 21 12.1	+11 55 00	I2739	   	     	
11 21 18.1	+34 22 00	I2738	 Gx	  0.6	
11 21 18.1	+08 45 00	I2740	   	     	
11 21 18.1	+09 09 00	I2741	   	     	
11 21 18.1	+10 27 00	I2742	   	     	
11 21 24.1	+03 01 00	 3643	 Gx	  1.1	15.0
11 21 24.1	+02 45 00	I 683	 Gx	     	
11 21 24.1	+08 42 00	I2743	   	     	
11 21 30.1	+18 28 00	 3639	 Gx	     	14.0
11 21 30.1	+02 49 00	 3644	 Gx	     	15.0
11 21 30.1	+13 26 00	I2745	 Gx	     	15.0
11 21 36.1	+02 59 00	 3645	 Gx	     	15.0
11 21 36.1	+02 54 00	 3647	 Gx	     	15.0
11 21 36.1	+02 50 00	I 684	   	     	
11 21 36.1	+11 44 00	I2746	   	     	
11 21 42.1	+20 10 00	 3646	 Gx	  3.9	11.2
11 21 42.1	+34 22 00	I2744	 Gx	  0.4	15.0
11 21 42.1	+08 48 00	I2747	   	     	
11 21 42.1	+08 48 00	I2748	   	     	
11 21 42.1	+08 35 00	I2749	 Gx	     	16.0
11 21 54.1	+09 40 00	I2750	   	     	
11 22 00.1	+14 08 00	I2752	 Nb	  0.3	
11 22 00.1	+09 53 00	I2753	   	     	
11 22 00.1	+14 09 00	I2754	 Nb	  0.5	
11 22 00.1	+13 48 00	I2755	  *	     	
11 22 00.1	+09 58 00	I2756	   	     	
11 22 00.1	+08 24 00	I2757	 Gx	     	15.0
11 22 00.1	+07 49 00	I2758	 Gx	     	15.0
11 22 06.1	+17 45 00	I 685	 Gx	     	
11 22 06.1	+34 23 00	I2751	 Gx	     	16.0
11 22 12.1	+20 13 00	 3649	 Gx	  1.6	15.0
11 22 12.1	+24 19 00	I2759	   	     	
11 22 12.1	+12 40 00	I2760	   	     	
11 22 18.1	+59 05 00	 3642	 Gx	  5.8	11.1
11 22 18.1	+14 11 00	I2761	 Nb	  0.1	
11 22 18.1	+12 44 00	I2762	 Gx	     	15.0
11 22 18.1	+13 04 00	I2763	   	     	
11 22 24.1	+24 18 00	 3651	 Gx	     	14.0
11 22 24.1	+14 13 00	I2765	 Nb	  0.1	
11 22 24.1	+12 54 00	I2766	   	     	
11 22 24.1	+13 05 00	I2767	   	     	
11 22 24.1	+12 32 00	I2768	   	     	
11 22 24.1	+14 12 00	I2769	 Nb	  0.1	
11 22 24.1	+09 13 00	I2770	   	     	
11 22 30.1	+24 16 00	 3653	 Gx	     	15.0
11 22 30.1	+12 31 00	I2771	   	     	
11 22 30.1	+13 36 00	I2772	   	     	
11 22 36.1	+39 53 00	 3648	 Gx	     	13.0
11 22 36.1	+20 42 00	 3650	 Gx	  1.9	15.0
11 22 36.1	+37 46 00	 3652	 Gx	  2.4	13.0
11 22 36.1	+13 34 00	I2773	   	     	
11 22 36.1	+12 31 00	I2774	   	     	
11 22 42.1	+12 31 00	I2775	   	     	
11 22 42.1	+13 20 00	I2776	   	     	
11 22 42.1	+12 02 00	I2777	 Gx	     	15.0
11 22 42.1	+12 31 00	I2778	   	     	
11 22 48.1	+13 21 00	I2779	   	     	
11 22 48.1	+10 09 00	I2780	   	     	
11 22 48.1	+12 21 00	I2781	   	     	
11 22 54.1	+16 35 00	 3655	 Gx	  1.6	11.6
11 22 54.1	+13 27 00	I2782	 Gx	  1.1	15.0
11 22 54.1	+08 53 00	I2783	   	     	
11 23 06.1	+05 39 00	I 686	 Gx	     	15.0
11 23 12.1	+13 07 00	I2784	   	     	
11 23 18.1	+13 23 00	I2785	   	     	
11 23 18.1	+13 23 00	I2786	   	     	
11 23 18.1	+13 39 00	I2787	 Gx	  1.0	15.0
11 23 24.1	+12 42 00	I2788	   	     	
11 23 30.1	+14 11 00	I2789	 D*	     	
11 23 36.1	+53 51 00	 3656	 Gx	  1.7	13.0
11 23 36.1	-08 40 00	 3660	 Gx	  2.8	13.0
11 23 36.1	-13 50 00	I 689	   	     	
11 23 36.1	+09 33 00	I2790	   	     	
11 23 36.1	+12 54 00	I2791	   	     	
11 23 42.1	-13 48 00	 3661	 Gx	     	14.0
11 23 42.1	-09 48 00	I 688	   	     	
11 23 42.1	+11 24 00	I2792	   	     	
11 23 48.1	+17 49 00	 3659	 Gx	  2.1	13.0
11 23 48.1	-01 06 00	 3662	 Gx	  1.6	14.0
11 23 48.1	+09 27 00	I2793	   	     	
11 23 54.1	+52 55 00	 3657	 Gx	  1.8	12.0
11 24 00.1	+38 34 00	 3658	 Gx	  2.1	13.0
11 24 00.1	-12 17 00	 3663	 Gx	     	13.0
11 24 06.1	+69 26 00	 3654	 Gx	     	13.0
11 24 06.1	+12 48 00	I2794	   	     	
11 24 06.1	+12 08 00	I2795	   	     	
11 24 06.1	+09 21 00	I2796	   	     	
11 24 18.1	-13 49 00	 3667	 Gx	     	13.0
11 24 18.1	+47 51 00	I 687	 Gx	  0.7	15.0
11 24 18.1	-08 21 00	I 690	   	     	
11 24 24.1	+03 20 00	 3664	 Gx	  2.0	13.0
11 24 24.1	+11 21 00	 3666	 Gx	  4.2	12.0
11 24 24.1	+11 42 00	I2797	   	     	
11 24 24.1	+12 25 00	I2798	   	     	
11 24 24.1	+13 51 00	I2799	 Nb	  0.4	
11 24 30.1	+12 12 00	I2800	   	     	
11 24 30.1	+10 11 00	I2801	   	     	
11 24 30.1	+12 13 00	I2802	   	     	
11 24 36.1	+09 51 00	I2803	   	     	
11 24 42.1	+38 46 00	 3665	 Gx	  3.2	10.8
11 24 42.1	+23 57 00	 3670	 Gx	     	14.0
11 24 54.1	+13 13 00	I2804	 Gx	  0.8	15.0
11 25 00.1	-09 48 00	 3672	 Gx	  4.1	11.0
11 25 00.1	+14 01 00	I2805	  *	     	
11 25 12.1	-26 44 00	 3673	 Gx	  3.5	12.0
11 25 18.1	+09 39 00	I2806	   	     	
11 25 18.1	+11 32 00	I2807	   	     	
11 25 24.1	+57 43 00	 3669	 Gx	  2.3	13.0
11 25 30.1	+63 27 00	 3668	 Gx	     	13.0
11 25 30.1	+09 08 00	I2808	   	     	
11 25 36.1	-10 37 00	 3676	  -	     	
11 25 36.1	+08 32 00	I2809	   	     	
11 25 42.1	-43 15 00	 3680	 OC	 12.0	 7.6
11 25 48.1	+60 29 00	 3671	 Gx	     	15.0
11 25 48.1	+14 40 00	I2810	 Nb	  1.0	
11 25 48.1	+09 10 00	I2811	   	     	
11 25 54.1	+09 59 00	I 692	 Gx	  0.8	14.0
11 25 54.1	+11 32 00	I2812	   	     	
11 26 06.1	+43 35 00	 3675	 Gx	  5.9	11.0
11 26 06.1	+11 15 00	I2813	   	     	
11 26 06.1	+09 40 00	I2814	   	     	
11 26 12.1	+27 53 00	 3678	 Gx	     	14.0
11 26 12.1	-05 35 00	 3679	 Gx	     	15.0
11 26 12.1	+04 08 00	 3685	  -	     	
11 26 18.1	+46 58 00	 3677	 Gx	  2.0	14.0
11 26 18.1	+12 48 00	I2815	   	     	
11 26 18.1	+10 38 00	I2816	   	     	
11 26 18.1	+09 09 00	I2817	   	     	
11 26 24.1	+57 03 00	 3674	 Gx	  2.0	13.0
11 26 24.1	+10 14 00	I2820	   	     	
11 26 30.1	+16 52 00	 3681	 Gx	  2.5	11.7
11 26 30.1	+12 55 00	I2818	   	     	
11 26 30.1	+13 51 00	I2819	 Gx	     	16.0
11 26 36.1	+13 58 00	I2821	   	     	
11 26 36.1	+11 26 00	I2822	 Gx	  1.7	15.0
11 26 42.1	+59 09 00	I 691	 Gx	  0.7	14.0
11 26 42.1	+12 50 00	I2823	 Gx	     	15.0
11 26 48.1	-05 00 00	I 693	 Gx	  0.6	15.0
11 27 00.1	+08 27 00	I2825	   	     	
11 27 06.1	-28 59 00	I2764	 Gx	  1.7	
11 27 06.1	+14 05 00	I2824	   	     	
11 27 06.1	+13 14 00	I2826	 Gx	     	15.0
11 27 12.1	+17 02 00	 3684	 Gx	  3.2	11.7
11 27 12.1	+11 31 00	I2827	   	     	
11 27 12.1	+08 43 00	I2828	 Gx	  1.0	15.0
11 27 12.1	+10 18 00	I2829	 Gx	     	15.0
11 27 24.1	+07 48 00	I2830	 Gx	     	15.0
11 27 24.1	+08 59 00	I2831	   	     	
11 27 24.1	+13 59 00	I2832	   	     	
11 27 24.1	+13 36 00	I2833	   	     	
11 27 30.1	+56 53 00	 3683	 Gx	  2.0	13.0
11 27 30.1	+13 34 00	I2834	   	     	
11 27 30.1	+12 09 00	I2835	   	     	
11 27 36.1	+09 05 00	I2836	   	     	
11 27 42.1	+66 35 00	 3682	 Gx	  2.0	13.0
11 27 42.1	+17 13 00	 3686	 Gx	  3.3	11.4
11 27 42.1	+10 19 00	I2837	   	     	
11 27 42.0	-79 44 00	I2884	   	     	
11 27 48.1	-09 10 00	 3688	 Gx	     	15.0
11 27 48.1	+14 01 00	I2838	   	     	
11 27 48.1	+10 49 00	I2839	   	     	
11 27 48.1	+13 26 00	I2840	   	     	
11 27 48.1	+12 36 00	I2841	   	     	
11 27 48.1	+09 39 00	I2842	   	     	
11 28 00.1	+29 31 00	 3687	 Gx	  2.0	13.0
11 28 00.1	-59 57 00	 3699	 Pl	  1.1	
11 28 00.1	-11 43 00	I 695	   	     	
11 28 00.1	+13 11 00	I2843	 Gx	     	15.0
11 28 00.1	+11 27 00	I2844	   	     	
11 28 00.1	+12 32 00	I2845	   	     	
11 28 00.1	+11 09 00	I2846	 Gx	  0.8	15.0
11 28 06.1	+13 56 00	I2847	   	     	
11 28 12.1	+25 40 00	 3689	 Gx	  1.6	12.3
11 28 12.1	+16 55 00	 3691	 Gx	  1.3	14.0
11 28 12.1	-13 10 00	 3693	 Gx	     	13.0
11 28 12.1	+13 02 00	I2848	   	     	
11 28 12.1	+09 06 00	I2849	   	     	
11 28 12.1	+09 04 00	I2850	   	     	
11 28 12.1	+09 48 00	I2852	   	     	
11 28 12.1	-12 53 00	I2856	 Gx	  0.7	14.0
11 28 18.1	+11 24 00	I2851	   	     	
11 28 18.1	+09 08 00	I2853	 Gx	  1.0	15.0
11 28 18.1	+08 58 00	I2854	   	     	
11 28 24.1	+09 24 00	 3692	 Gx	  3.3	13.0
